vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
down_1,56.0,1.0010326044563271,1.0010326044563271,34.0,1,97.0,0,0,41.0
down_2,56.0,8.502086214214046,8.502086214214046,34.0,1,102.0,1,1,42.0
down_6,56.0,16.01100690206414,16.00309329145955,34.0,1,105.0,2,2,37.0
down_7,56.0,71.34120798242276,23.5041438165124,34.0,1,108.0,3,3,34.0
down_20,56.0,389.3484432572498,53.50840795455787,34.0,1,118.0,7,7,1.0
down_29,56.0,496.6851346466689,76.01136779218605,34.0,1,124.0,10,10,11.0
down_54,111.0,499.4506537395528,-1.0,0.0,0,151.0,16,-1,-1.0
down_78,166.0,418.8258919479531,1.00108303962827,0.0,0,289.0,5,0,92.0
down_84,221.0,23.50424204592514,23.50424204592514,61.0,1,301.0,3,3,71.0
down_85,221.0,31.005242809242414,31.005242809242414,61.0,1,304.0,4,4,72.0
down_130,331.0,161.87671924675146,-1.0,0.0,0,348.0,9,-1,-1.0
down_152,386.0,1.026736718513746,1.0010250681475554,88.0,1,481.0,0,0,89.0
down_197,496.0,158.5228835609098,158.5228835609098,0.0,0,530.0,16,16,6.0
down_213,496.0,437.3747785260901,-1.0,0.0,0,543.0,23,-1,-1.0
down_236,551.0,416.24250389598313,1.0010068435787502,0.0,0,673.0,5,0,90.0
down_245,606.0,31.005175254940983,31.005175254940983,60.0,1,687.0,4,4,71.0
down_307,716.0,141.75930576265824,-1.0,0.0,0,731.0,7,-1,-1.0
down_309,716.0,172.06319056700974,-1.0,0.0,0,735.0,9,-1,-1.0
down_311,716.0,186.0845200782054,-1.0,0.0,0,737.0,10,-1,-1.0
down_313,716.0,199.24396497032933,-1.0,0.0,0,739.0,11,-1,-1.0
down_335,771.0,3.625011246726388,1.0011105662226782,87.0,1,865.0,0,0,4.0
down_382,826.0,473.1777859000489,136.0196168774312,32.0,1,909.0,18,18,24.0
down_403,881.0,452.5273522791453,-1.0,0.0,0,928.0,23,-1,-1.0
down_431,936.0,339.050993688032,1.0010514986457792,0.0,0,1057.0,4,0,91.0
down_443,991.0,46.0073149422023,46.0073149422023,59.0,1,1075.0,6,6,8.0
down_447,991.0,53.545909568094146,53.50839029699415,59.0,1,1077.0,7,7,4.0
down_459,991.0,465.9024771041237,98.51460030637101,59.0,1,1090.0,13,13,44.0
down_471,1046.0,146.19124244416344,143.5208893097769,4.0,1,1102.0,19,19,25.0
down_480,1046.0,374.46672341016813,166.02406265901806,4.0,1,1108.0,22,19,13.0
down_503,1101.0,230.87011312343475,-1.0,0.0,0,1125.0,12,-1,-1.0
down_507,1101.0,329.0744111643148,-1.0,0.0,0,1127.0,13,-1,-1.0
down_512,1101.0,382.15937653817235,-1.0,0.0,0,1129.0,14,-1,-1.0
down_520,1156.0,1.0011029497213144,1.0011029497213144,86.0,1,1249.0,0,0,2.0
down_532,1156.0,259.5244942984544,31.005169513657624,86.0,1,1263.0,4,4,76.0
down_550,1211.0,260.2816030892544,113.51650733776802,31.0,1,1287.0,15,15,1.0
down_565,1266.0,173.52482273316804,173.52482273316804,0.0,0,1302.0,17,17,6.0
down_598,1321.0,366.55873368112367,1.0010219492316992,0.0,0,1441.0,4,0,89.0
down_599,1321.0,419.9821572977118,8.502079894745746,0.0,0,1446.0,5,1,87.0
down_612,1321.0,489.6656402016058,23.50422781758698,0.0,0,1452.0,7,3,2.0
down_689,1486.0,202.67125996547057,-1.0,0.0,0,1506.0,10,-1,-1.0
down_700,1486.0,405.8631313296035,-1.0,0.0,0,1512.0,13,-1,-1.0
down_714,1541.0,1.0010672979960304,1.0010672979960304,85.0,1,1633.0,0,0,92.0
down_722,1541.0,177.68770664603653,23.50411692769211,85.0,1,1644.0,3,3,78.0
down_724,1541.0,274.84626664994283,31.00515921145461,85.0,1,1647.0,4,4,77.0
down_754,1596.0,418.96846433328477,128.51890893978123,30.0,1,1674.0,17,17,1.0
down_758,1596.0,461.7992874020197,136.01984928990214,30.0,1,1676.0,18,18,24.0
down_793,1651.0,492.5240350876416,-1.0,0.0,0,1699.0,24,-1,-1.0
down_829,1706.0,338.765632578672,1.001110548540851,0.0,0,1825.0,3,0,28.0
down_830,1706.0,396.9451721541595,8.502126923346339,0.0,0,1830.0,4,1,25.0
down_838,1706.0,496.5333572332125,31.005313501235317,0.0,0,1839.0,7,4,16.0
down_871,1816.0,163.21021346914083,151.0213934527975,2.0,1,1873.0,20,20,23.0
down_872,1816.0,285.2337877625982,158.52248742909623,2.0,1,1875.0,21,18,12.0
down_880,1816.0,408.16146043253946,173.5245891587384,2.0,1,1879.0,23,18,8.0
down_909,1871.0,218.0571843626712,-1.0,0.0,0,1894.0,12,-1,-1.0
down_924,1926.0,1.0010639008550584,1.0010639008550584,84.0,1,2017.0,0,0,90.0
down_933,1926.0,133.4828275136545,23.50420555119211,84.0,1,2028.0,3,3,78.0
down_960,1981.0,91.01689979393575,91.0136963578423,29.0,1,2049.0,12,12,4.0
down_979,1981.0,458.28950703339655,136.01999066898395,29.0,1,2061.0,18,18,1.0
down_998,2036.0,227.03292068535077,-1.0,0.0,0,2074.0,18,-1,-1.0
down_1033,2091.0,354.61853988636284,1.0011023096732288,0.0,0,2209.0,4,0,4.0
down_1035,2091.0,422.2539889554493,8.502001526812876,0.0,0,2214.0,5,1,81.0
down_1056,2146.0,54.86721937951506,53.50826166359218,56.0,1,2231.0,7,7,65.0
down_1103,2256.0,180.47629164089557,-1.0,0.0,0,2274.0,9,-1,-1.0
down_1132,2311.0,1.001087100966231,1.001087100966231,83.0,1,2401.0,0,0,90.0
down_1133,2311.0,8.5027706041746,8.502090896279581,83.0,1,2406.0,1,1,89.0
down_1158,2366.0,144.17885347666245,106.01563400887484,28.0,1,2436.0,14,14,40.0
down_1196,2421.0,484.0093596951879,-1.0,0.0,0,2466.0,23,-1,-1.0
down_1205,2476.0,272.07794061043853,1.001002941613535,0.0,0,2593.0,3,0,93.0
down_1213,2476.0,414.0598765200994,16.00315708471527,0.0,0,2602.0,5,2,69.0
down_1253,2586.0,442.5865679294802,181.02581614470864,0.0,1,2648.0,24,17,3.0
down_1281,2641.0,477.8581966824829,-1.0,0.0,0,2678.0,15,-1,-1.0
down_1286,2696.0,1.001087427691857,1.001087427691857,82.0,1,2785.0,0,0,89.0
down_1290,2696.0,16.014728497596426,16.003296177060975,82.0,1,2794.0,2,2,2.0
down_1381,2861.0,55.96972078550596,-1.0,0.0,0,2864.0,0,-1,-1.0
down_1386,2861.0,188.14227287061505,-1.0,0.0,0,2871.0,1,-1,-1.0
down_1387,2861.0,288.89775880659,1.001079724123997,0.0,0,2977.0,2,0,93.0
down_1392,2861.0,356.1370617297925,8.502118891273824,0.0,0,2982.0,3,1,90.0
down_1465,3026.0,345.7317156646404,-1.0,0.0,0,3051.0,12,-1,-1.0
down_1475,3081.0,1.001064708144952,1.001064708144952,81.0,1,3169.0,0,0,88.0
down_1480,3081.0,8.503816705207612,8.502145837743344,81.0,1,3174.0,1,1,86.0
down_1484,3081.0,190.8185680859568,31.005296537276763,81.0,1,3183.0,4,4,75.0
down_1547,3191.0,239.8794863675721,-1.0,0.0,0,3228.0,18,-1,-1.0
down_1563,3246.0,168.46027853383532,-1.0,0.0,0,3256.0,1,-1,-1.0
down_1565,3246.0,250.66688099643207,1.0010087992305898,0.0,0,3361.0,2,0,93.0
down_1582,3246.0,445.2577045006677,23.50408438022555,0.0,0,3373.0,5,3,81.0
down_1659,3411.0,498.7030205003917,1.0011311187698198,0.0,0,3553.0,15,0,3.0
down_1669,3466.0,30.55996282635073,23.50405166080259,80.0,1,3564.0,3,3,84.0
down_1675,3466.0,318.55395900431887,46.0072276820664,80.0,1,3571.0,6,6,70.0
down_1704,3521.0,325.721536389935,128.5188077702606,25.0,1,3594.0,17,17,2.0
down_1716,3576.0,181.0260964643037,-1.0,0.0,0,3607.0,15,-1,-1.0
down_1736,3576.0,490.61830243300653,-1.0,0.0,0,3620.0,22,-1,-1.0
down_1751,3631.0,306.5532853229921,1.0010725521696031,0.0,0,3745.0,3,0,89.0
down_1753,3631.0,366.8426667338237,8.502153795260256,0.0,0,3750.0,4,1,86.0
down_1759,3631.0,492.92285205125,31.00521000993939,0.0,0,3759.0,7,4,72.0
down_1772,3686.0,53.50886281021428,53.508413480692475,52.0,1,3766.0,7,7,1.0
down_1824,3796.0,160.22156095375342,-1.0,0.0,0,3811.0,7,-1,-1.0
down_1831,3796.0,310.31452556168665,-1.0,0.0,0,3815.0,9,-1,-1.0
down_1836,3796.0,365.67136327223847,-1.0,0.0,0,3818.0,10,-1,-1.0
down_1844,3851.0,1.0010254505510259,1.0010254505510259,79.0,1,3937.0,0,0,86.0
down_1845,3851.0,8.502111593945756,8.502111593945756,79.0,1,3942.0,1,1,87.0
down_1860,3851.0,471.2803251906639,68.51050998241192,79.0,1,3962.0,9,9,57.0
down_1912,3961.0,188.52743687012713,-1.0,0.0,0,3994.0,16,-1,-1.0
down_1944,4016.0,306.34082527486606,1.0010393455272035,0.0,0,4129.0,3,0,89.0
down_1952,4071.0,38.50621447161728,38.50621447161728,51.0,1,4145.0,5,5,63.0
down_1974,4071.0,479.45502478667885,106.01564766475306,51.0,1,4164.0,14,14,37.0
down_1975,4071.0,497.2454333459027,113.516664901272,51.0,1,4166.0,15,15,30.0
down_1977,4126.0,121.01770405748744,121.01770405748744,2.0,1,4168.0,16,16,19.0
down_2008,4181.0,82.27891700413113,-1.0,0.0,0,4191.0,4,-1,-1.0
down_2010,4181.0,105.62909061674587,-1.0,0.0,0,4193.0,5,-1,-1.0
down_2023,4181.0,404.3308532217517,-1.0,0.0,0,4206.0,11,-1,-1.0
down_2033,4181.0,498.8039587885141,1.001056542069989,0.0,0,4321.0,14,0,92.0
down_2034,4236.0,8.502094649593005,8.502094649593005,78.0,1,4326.0,1,1,86.0
down_2048,4236.0,442.1849538194947,61.00926036802014,78.0,1,4345.0,8,8,60.0
down_2049,4236.0,470.0285203448497,68.51029721174041,78.0,1,4347.0,9,9,56.0
down_2052,4236.0,493.9389570652508,76.01142271357656,78.0,1,4349.0,10,10,2.0
down_2056,4291.0,91.01336356911072,91.01336356911072,23.0,1,4353.0,12,12,42.0
down_2089,4291.0,498.41333598876366,158.5228661880222,23.0,1,4370.0,21,19,14.0
down_2117,4346.0,499.843124333676,-1.0,0.0,0,4391.0,23,-1,-1.0
down_2140,4401.0,211.60403710931718,1.001104749482181,0.0,0,4513.0,2,0,7.0
down_2142,4401.0,362.56762949973336,16.00318448123693,0.0,0,4522.0,4,2,5.0
down_2147,4401.0,432.6981341576204,23.504086270886148,0.0,0,4525.0,5,3,80.0
down_2149,4401.0,466.53739423723886,31.00508845661966,0.0,0,4528.0,6,4,78.0
down_2205,4566.0,116.06385294768545,-1.0,0.0,0,4576.0,5,-1,-1.0
down_2226,4566.0,499.50135391000657,1.0010110037367212,0.0,0,4705.0,14,0,91.0
down_2240,4621.0,75.61164464773606,31.00520790580657,77.0,1,4719.0,4,4,76.0
down_2245,4621.0,420.9877917827107,61.00943891546774,77.0,1,4728.0,8,8,60.0
down_2247,4621.0,465.33640406550836,68.51049634163347,77.0,1,4730.0,9,9,55.0
down_2265,4676.0,307.57879327598937,128.51898362832586,22.0,1,4746.0,17,17,26.0
down_2289,4731.0,188.52616292611344,-1.0,0.0,0,4761.0,15,-1,-1.0
down_2324,4786.0,259.8630461702973,1.0010267624256244,0.0,0,4897.0,2,0,90.0
down_2340,4841.0,46.00712558259698,46.00712558259698,49.0,1,4916.0,6,6,62.0
down_2361,4841.0,289.139639408986,83.5124975282796,49.0,1,4927.0,11,11,48.0
down_2364,4841.0,354.563978332188,91.01361044332776,49.0,1,4929.0,12,12,1.0
down_2375,4896.0,136.01981286806148,136.01981286806148,0.0,1,4940.0,18,18,19.0
down_2411,4951.0,217.3321172107011,-1.0,0.0,0,4964.0,7,-1,-1.0
down_2412,4951.0,295.86440146528184,-1.0,0.0,0,4967.0,8,-1,-1.0
down_2423,5006.0,1.00102603158183,1.00102603158183,76.0,1,5089.0,0,0,83.0
down_2429,5006.0,16.01710681634887,16.003056558836704,76.0,1,5097.0,2,2,80.0
down_2481,5116.0,180.89703986439446,-1.0,0.0,0,5144.0,14,-1,-1.0
down_2482,5116.0,188.5092590920643,-1.0,0.0,0,5146.0,15,-1,-1.0
down_2485,5116.0,196.13312078229697,-1.0,0.0,0,5148.0,16,-1,-1.0
down_2491,5116.0,343.99040368823336,-1.0,0.0,0,5152.0,18,-1,-1.0
down_2493,5116.0,408.67344162741676,-1.0,0.0,0,5154.0,19,-1,-1.0
down_2494,5116.0,451.43552637666227,-1.0,0.0,0,5156.0,20,-1,-1.0
down_2496,5116.0,485.328645543009,-1.0,0.0,0,5158.0,21,-1,-1.0
down_2500,5116.0,499.13707340155787,-1.0,0.0,0,5160.0,22,-1,-1.0
down_2511,5171.0,194.04301066763185,1.0010142332596388,0.0,0,5281.0,1,0,90.0
down_2512,5171.0,301.57337150992817,8.502045873226509,0.0,0,5286.0,2,1,87.0
down_2518,5171.0,458.23030031491066,31.005133966828733,0.0,0,5295.0,5,4,77.0
down_2523,5226.0,53.50819022079611,53.50819022079611,48.0,1,5302.0,7,7,62.0
down_2544,5281.0,136.01966549577634,136.01966549577634,0.0,0,5325.0,18,18,18.0
down_2562,5281.0,498.66717657065016,-1.0,0.0,0,5342.0,27,-1,-1.0
down_2584,5391.0,1.001056125975026,1.001056125975026,75.0,1,5473.0,0,0,82.0
down_2588,5391.0,16.00610889271968,16.003215430047078,75.0,1,5481.0,2,2,2.0
down_2596,5391.0,260.42621134113404,38.506223528868134,75.0,1,5489.0,5,5,67.0
down_2636,5446.0,480.0801745899022,151.02191540730738,20.0,1,5520.0,20,17,11.0
down_2678,5556.0,200.63910636762145,1.0010506113891893,0.0,0,5665.0,2,0,91.0
down_2682,5556.0,355.9016740113497,16.003123177722728,0.0,0,5673.0,4,2,85.0
down_2758,5721.0,479.05009766509767,1.0010441510211765,0.0,0,5857.0,12,0,92.0
down_2761,5776.0,16.00309226948724,16.00309226948724,74.0,1,5865.0,2,2,83.0
down_2763,5776.0,32.767975827037624,31.00519951612512,74.0,1,5871.0,4,4,74.0
down_2792,5831.0,106.0156089047357,106.0156089047357,19.0,1,5893.0,14,14,40.0
down_2796,5831.0,122.02688391494983,121.01767168286459,19.0,1,5897.0,16,16,37.0
down_2797,5831.0,182.32448021527364,128.51872764724743,19.0,1,5899.0,17,17,32.0
down_2846,5941.0,84.71890172525053,-1.0,0.0,0,5946.0,1,-1,-1.0
down_2851,5941.0,171.69370201528068,1.0011227429217795,0.0,0,6049.0,2,0,3.0
down_2853,5941.0,265.99840670777473,8.502076719190313,0.0,0,6054.0,3,1,86.0
down_2873,5996.0,294.59283742737017,91.01341163788868,46.0,1,6081.0,12,12,45.0
down_2952,6106.0,483.1558880769648,1.001048539009389,0.0,0,6241.0,12,0,90.0
down_2953,6106.0,498.457164755743,8.502145096102595,0.0,0,6246.0,13,1,88.0
down_3032,6326.0,101.46304784239479,1.0010419695085488,0.0,0,6433.0,0,0,91.0
down_3034,6326.0,195.2394388044973,8.502104675163991,0.0,0,6438.0,1,1,91.0
down_3062,6381.0,101.69013036062664,83.5125510171071,45.0,1,6463.0,11,11,55.0
down_3067,6381.0,185.34495488479726,91.01365668110628,45.0,1,6465.0,12,12,3.0
down_3084,6436.0,151.0220124409426,151.0220124409426,0.0,0,6480.0,19,19,4.0
down_3092,6436.0,372.2083498566412,188.5270766728385,0.0,0,6489.0,24,17,3.0
down_3112,6491.0,124.40538771432242,-1.0,0.0,0,6502.0,5,-1,-1.0
down_3122,6491.0,397.4289720410481,-1.0,0.0,0,6516.0,9,-1,-1.0
down_3124,6491.0,447.6283434226178,-1.0,0.0,0,6522.0,10,-1,-1.0
down_3125,6491.0,481.8501425884157,1.0010245725018765,0.0,0,6625.0,11,0,92.0
down_3130,6491.0,498.7922029242851,8.502047288852566,0.0,0,6630.0,12,1,90.0
down_3138,6546.0,118.27378542519762,38.506205835342996,72.0,1,6641.0,5,5,72.0
down_3147,6546.0,466.4917608651333,76.01157056467598,72.0,1,6652.0,10,10,54.0
down_3148,6546.0,489.91552531989294,83.51265755264694,72.0,1,6654.0,11,11,53.0
down_3166,6601.0,317.2034076841548,136.01995486125065,17.0,1,6668.0,18,18,24.0
down_3176,6601.0,493.3787919922732,166.0242371822721,17.0,1,6676.0,22,18,1.0
down_3192,6656.0,244.49019484901802,-1.0,0.0,0,6687.0,16,-1,-1.0
down_3216,6711.0,175.11561159472902,1.001073723477532,0.0,0,6817.0,1,0,87.0
down_3221,6711.0,346.86371127841994,16.003152252387732,0.0,0,6825.0,3,2,80.0
down_3278,6821.0,456.40166031178086,-1.0,0.0,0,6875.0,25,-1,-1.0
down_3304,6876.0,473.69083011532206,1.0010796281608805,0.0,0,7009.0,10,0,96.0
down_3309,6876.0,494.3497787473723,8.502135201933982,0.0,0,7014.0,11,1,85.0
down_3318,6931.0,23.504193761515182,23.504193761515182,71.0,1,7020.0,3,3,81.0
down_3388,7041.0,203.057057237999,-1.0,0.0,0,7070.0,14,-1,-1.0
down_3414,7096.0,130.14973897712645,1.0010060322600791,0.0,0,7201.0,1,0,91.0
down_3433,7096.0,474.78855826668433,38.50642569364578,0.0,0,7217.0,6,5,1.0
