vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
left_26,56.0,499.7020986448973,1.0010453462069222,0.0,0,193.0,7,0,86.0
left_34,111.0,35.632039333295886,23.504180502265395,75.0,1,204.0,3,3,77.0
left_45,111.0,317.2136841800064,46.007346018544176,75.0,1,212.0,6,6,64.0
left_53,111.0,411.20518868481736,53.50836352012385,75.0,1,214.0,7,7,59.0
left_165,276.0,148.09339657278238,1.0010023618990544,0.0,0,385.0,1,0,93.0
left_169,276.0,267.48704062448803,8.502110339082265,0.0,0,390.0,2,1,7.0
left_199,331.0,97.45391680482099,68.51030180598428,47.0,1,410.0,9,9,53.0
left_221,331.0,472.2083583234809,98.51450478093676,47.0,1,418.0,13,13,32.0
left_247,386.0,384.5736420824192,166.0238953910175,0.0,0,435.0,21,14,1.0
left_272,441.0,78.52429696986269,-1.0,0.0,0,449.0,3,-1,-1.0
left_306,441.0,497.62352037755534,1.001028917602525,0.0,0,577.0,10,0,89.0
left_310,496.0,8.502035704995594,8.502035704995594,74.0,1,582.0,1,1,82.0
left_327,551.0,68.51036619761345,68.51036619761345,19.0,1,603.0,9,9,35.0
left_329,551.0,76.0114299041719,76.0114299041719,19.0,1,605.0,10,10,35.0
left_331,551.0,88.09373120495417,83.51245992947821,19.0,1,607.0,11,11,30.0
left_377,606.0,355.1250736832618,-1.0,0.0,0,633.0,14,-1,-1.0
left_405,661.0,135.3636165594383,1.001001509538412,0.0,0,769.0,1,0,92.0
left_407,661.0,214.22782487888423,8.502084320186611,0.0,0,774.0,2,1,90.0
left_414,661.0,377.6303562338464,23.504107122904145,0.0,0,780.0,4,3,84.0
left_415,661.0,433.1543467061082,31.005241078623552,0.0,0,783.0,5,4,3.0
left_435,716.0,317.54229851132266,83.5124953580555,46.0,1,799.0,11,11,44.0
left_464,771.0,136.02242260983286,136.01984466460806,0.0,0,813.0,17,17,13.0
left_476,771.0,463.2138463930226,-1.0,0.0,0,824.0,23,-1,-1.0
left_505,826.0,489.1179109618999,1.0010015895801985,0.0,0,961.0,9,0,91.0
left_510,881.0,16.003052016915092,16.003052016915092,73.0,1,969.0,2,2,82.0
left_511,881.0,23.515869606008266,23.50410201155813,73.0,1,972.0,3,3,79.0
left_519,881.0,176.7012157118879,38.50622283431603,73.0,1,977.0,5,5,3.0
left_568,936.0,485.4858978852629,136.0195892806786,18.0,1,1004.0,18,15,7.0
left_579,936.0,499.445682259965,143.52065789848282,18.0,1,1006.0,19,14,4.0
left_603,991.0,387.02135611796547,-1.0,0.0,0,1019.0,14,-1,-1.0
left_624,1046.0,154.56706763068198,1.001022545764272,0.0,0,1153.0,1,0,92.0
left_626,1046.0,261.79747958593066,8.502127853510673,0.0,0,1158.0,2,1,10.0
left_663,1156.0,113.5165536818008,113.5165536818008,0.0,0,1191.0,14,14,12.0
left_671,1156.0,128.5217495187946,128.51866572332204,0.0,0,1195.0,16,15,11.0
left_698,1156.0,493.3844584574923,-1.0,0.0,0,1208.0,23,-1,-1.0
left_711,1211.0,58.389398685986116,-1.0,0.0,0,1216.0,2,-1,-1.0
left_739,1211.0,485.19940621219575,1.0010420597772054,0.0,0,1345.0,8,0,90.0
left_746,1266.0,16.003130251027812,16.003130251027812,72.0,1,1353.0,2,2,81.0
