vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
right_35,56.0,499.998578439835,1.0010326118782018,0.0,0,193.0,7,0,87.0
right_37,111.0,8.502042006129102,8.502042006129102,75.0,1,198.0,1,1,83.0
right_44,111.0,35.62160003489248,23.504229625077585,75.0,1,204.0,3,3,1.0
right_120,221.0,172.28115369028984,-1.0,0.0,0,245.0,12,-1,-1.0
right_168,276.0,157.11107682479513,1.0010676279478616,0.0,0,385.0,1,0,95.0
right_178,276.0,415.25821643350645,16.00311002976332,0.0,0,393.0,3,2,79.0
right_196,331.0,315.9423685200512,68.51043169090923,47.0,1,410.0,9,9,2.0
right_203,331.0,391.6442563736811,76.01136809733548,47.0,1,412.0,10,10,35.0
right_205,331.0,439.6319191779942,83.5124013376619,47.0,1,414.0,11,11,33.0
right_211,331.0,493.1360664247535,98.5144218648902,47.0,1,418.0,13,13,28.0
right_237,386.0,483.4602666876279,-1.0,0.0,0,437.0,22,-1,-1.0
right_264,441.0,486.8941782892682,1.0010620569860291,0.0,0,577.0,8,0,95.0
right_274,496.0,131.28238383883956,31.00515282431138,74.0,1,591.0,4,4,69.0
right_297,551.0,91.01363954739168,91.01363954739168,19.0,1,608.0,12,12,5.0
right_303,551.0,309.40327541157586,113.51652763008428,19.0,1,614.0,15,15,23.0
right_367,606.0,434.5302653975785,-1.0,0.0,0,639.0,17,-1,-1.0
right_391,661.0,165.8982171405935,1.0010809574241648,0.0,0,769.0,1,0,92.0
right_397,661.0,259.5577764968388,8.502118238320007,0.0,0,774.0,2,1,88.0
right_419,716.0,176.85175528228277,61.00927432203577,46.0,1,793.0,8,8,47.0
right_422,716.0,280.4678898724726,68.51028723348156,46.0,1,795.0,9,9,42.0
right_439,771.0,106.0154550589207,106.0154550589207,0.0,0,805.0,13,13,12.0
right_484,826.0,0.9257160741236136,-1.0,0.0,0,826.0,0,-1,-1.0
right_521,826.0,482.2537989861332,1.0010831805063276,0.0,0,961.0,8,0,95.0
right_524,826.0,498.341567276232,8.502135749493847,0.0,0,966.0,9,1,88.0
right_529,881.0,16.00318964554606,16.00318964554606,73.0,1,969.0,2,2,82.0
right_543,881.0,23.506876394639622,23.504330562126942,73.0,1,972.0,3,3,1.0
right_575,936.0,91.02121728911777,91.0133086133583,18.0,1,992.0,12,12,34.0
right_578,936.0,198.54706060569734,106.01536947934295,18.0,1,996.0,14,14,26.0
right_581,936.0,308.9283611401125,113.51641453627578,18.0,1,998.0,15,15,22.0
right_590,936.0,493.95531178079545,143.52053101642588,18.0,1,1006.0,19,15,7.0
right_607,991.0,180.18971511922473,-1.0,0.0,0,1016.0,12,-1,-1.0
right_628,991.0,494.2186236760579,-1.0,0.0,0,1030.0,18,-1,-1.0
right_649,1046.0,163.83790821465138,1.0010869596173393,0.0,0,1153.0,1,0,88.0
right_662,1046.0,482.74226374179125,31.00522689772856,0.0,0,1166.0,5,4,70.0
right_672,1101.0,114.13016343861044,61.009358122721494,45.0,1,1176.0,8,8,50.0
right_740,1211.0,487.9528546779417,1.0010247704652215,0.0,0,1345.0,8,0,91.0
right_759,1266.0,435.05948612568903,53.50834233659708,72.0,1,1366.0,7,7,53.0
right_783,1321.0,260.92229148233304,98.51445457646156,17.0,1,1379.0,13,13,20.0
right_794,1321.0,328.3432201107032,106.01545923608684,17.0,1,1381.0,14,14,18.0
right_797,1321.0,445.13486914355315,121.01757753259476,17.0,1,1385.0,16,14,10.0
right_815,1376.0,159.08559667993853,-1.0,0.0,0,1396.0,10,-1,-1.0
right_861,1431.0,115.51530056681965,1.0010756270297063,0.0,0,1537.0,1,0,94.0
right_862,1431.0,237.140553188417,8.502166454056635,0.0,0,1542.0,2,1,86.0
right_869,1431.0,311.9292674307711,16.003184552145285,0.0,0,1545.0,3,2,86.0
right_883,1486.0,53.50844996282604,53.50844996282604,44.0,1,1558.0,7,7,2.0
right_886,1486.0,61.009452550760784,61.009452550760784,44.0,1,1560.0,8,8,8.0
right_968,1596.0,478.39754972122614,1.0010365997918598,0.0,0,1729.0,7,0,91.0
right_972,1596.0,496.06475656051185,8.502095563830322,0.0,0,1734.0,8,1,89.0
right_974,1651.0,16.003134989833654,16.003134989833654,71.0,1,1737.0,2,2,80.0
right_1017,1706.0,139.08043332911393,106.01579675845386,16.0,1,1765.0,14,14,29.0
right_1082,1816.0,229.96210403068767,1.0011011123238518,0.0,0,1921.0,1,0,18.0
right_1091,1816.0,496.9787700356916,31.005060003600025,0.0,0,1935.0,5,4,63.0
right_1154,1926.0,458.22128268157485,-1.0,0.0,0,1973.0,21,-1,-1.0
right_1201,1981.0,481.1768014831469,1.0010375535124467,0.0,0,2113.0,6,0,89.0
right_1236,2091.0,91.01434232309064,91.01356131535015,15.0,1,2144.0,12,12,3.0
right_1279,2146.0,258.5357988880016,-1.0,0.0,0,2169.0,11,-1,-1.0
right_1307,2201.0,170.3819344438137,1.0010981394430587,0.0,0,2305.0,1,0,86.0
right_1313,2201.0,399.62751924553885,16.003221499802635,0.0,0,2313.0,3,2,76.0
right_1329,2201.0,499.8487958398648,38.5063837165776,0.0,0,2321.0,6,5,60.0
right_1375,2311.0,430.46054197112096,-1.0,0.0,0,2355.0,20,-1,-1.0
right_1377,2311.0,464.7307545060292,-1.0,0.0,0,2357.0,21,-1,-1.0
right_1412,2366.0,436.37077643510514,-1.0,0.0,0,2395.0,5,-1,-1.0
right_1414,2366.0,471.5698453621008,1.0010418304092925,0.0,0,2497.0,6,0,88.0
right_1422,2366.0,493.3791010756977,8.502088039260798,0.0,0,2502.0,7,1,87.0
right_1424,2421.0,16.00314459144022,16.00314459144022,69.0,1,2505.0,2,2,78.0
right_1426,2421.0,23.50421878289029,23.50421878289029,69.0,1,2508.0,3,3,79.0
right_1459,2476.0,91.01351166441998,91.01351166441998,14.0,1,2528.0,12,12,5.0
right_1534,2586.0,96.52772333323952,1.0010437659796023,0.0,0,2689.0,1,0,90.0
right_1539,2586.0,310.1926722156815,16.003224603175966,0.0,0,2698.0,3,2,13.0
right_1573,2641.0,498.00160650508735,98.51439583317108,41.0,1,2723.0,13,13,19.0
right_1626,2751.0,431.73030639179046,1.001100661439807,0.0,0,2881.0,5,0,14.0
right_1634,2751.0,491.4003081924282,16.003438110922502,0.0,0,2889.0,7,2,1.0
right_1653,2806.0,38.62167397990419,38.50607530886288,68.0,1,2897.0,5,5,73.0
right_1747,2971.0,83.23593046249765,1.0010049385280697,95.0,0,3073.0,1,0,89.0
right_1762,2971.0,341.2137936925515,23.504117551348198,95.0,0,3084.0,4,3,77.0
right_1767,2971.0,457.51048479583113,38.50618252090135,95.0,0,3089.0,6,5,70.0
right_1805,3081.0,121.01759510561449,121.01759510561449,0.0,0,3112.0,14,14,8.0
right_1834,3081.0,494.0728456729215,-1.0,0.0,0,3129.0,23,-1,-1.0
right_1864,3136.0,154.77012667254763,-1.0,0.0,0,3144.0,1,-1,-1.0
right_1870,3136.0,309.83313578953965,-1.0,0.0,0,3156.0,3,-1,-1.0
right_1882,3136.0,436.53074113860526,1.001084708786948,0.0,0,3265.0,5,0,91.0
